geneset,genesymbol,correlation
REACTOME_REGULATION_OF_NF_KAPPA_B_SIGNALING,CASP8,0.24020230879970927
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,CASP8,0.2255749624233601
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,CASP8,0.2202979653231326
REACTOME_NOD1_2_SIGNALING_PATHWAY,CASP8,0.20271324244387637
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,CASP8,0.20103362005259584
REACTOME_REGULATED_NECROSIS,CASP8,0.20085540257439266
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS,CASP8,0.19678728569659124
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,CASP8,0.19259754271165497
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,CASP8,0.1908439671857752
REACTOME_TNF_SIGNALING,CASP8,0.1831008491941892
REACTOME_TAK1_DEPENDENT_IKK_AND_NF_KAPPA_B_ACTIVATION,CASP8,0.18179425441193048
REACTOME_CLEC7A_DECTIN_1_SIGNALING,CASP8,0.173995650105691
REACTOME_PROGRAMMED_CELL_DEATH,CASP8,0.1734928062385083
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,CASP8,0.1641746515862422
REACTOME_APOPTOSIS,CASP8,0.16404314586330254
REACTOME_DEATH_RECEPTOR_SIGNALING,CASP8,0.1600354049749121
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,CASP8,0.15256136368585102
REACTOME_INTERLEUKIN_1_SIGNALING,CASP8,0.15188819833120115
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,CASP8,0.14796537666330398
REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING,CASP8,0.14678035022415062
REACTOME_APOPTOTIC_EXECUTION_PHASE,CASP8,0.1292546178155748
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,CASP8,0.1185714769430375
IKZF2_REGULON,CASP8,0.10875847589524029
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,CASP8,0.10395635373488736
IKZF1_REGULON,CASP8,0.10361288974545164
ELF1_REGULON,CASP8,0.10051548475756081
GATA3_REGULON,CASP8,0.09693912693935051
CREM_REGULON,CASP8,0.09668420851673647
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,CASP8,0.09585292204277765
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,CASP8,0.09417971593161517
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,CASP8,0.09192015414499986
RUNX3_REGULON,CASP8,0.09000507303737085
IRF1_REGULON,CASP8,0.05459453320015999
STAT1_REGULON,CASP8,-0.019003063189037273
